movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type
未麻的部屋,https://movie.douban.com/subject/1395091/,424647,1997,日本,犯罪 动画 悬疑 惊悚
重庆森林,https://movie.douban.com/subject/1291999/,921799,1994,中国香港,爱情
借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,627172,2010,日本,动画 奇幻 冒险
入殓师,https://movie.douban.com/subject/2149806/,742496,2008,日本,未知
菊次郎的夏天,https://movie.douban.com/subject/1293359/,672954,1999,日本,喜剧
断背山,https://movie.douban.com/subject/1418834/,782097,2005,美国 加拿大,爱情 同性 家庭
剪刀手爱德华,https://movie.douban.com/subject/1292370/,1119839,1990,美国,爱情 奇幻
勇敢的心,https://movie.douban.com/subject/1294639/,605306,1995,美国,动作 传记  历史 战争
时空恋旅人,https://movie.douban.com/subject/10577869/,791946,2013,英国 美国,喜剧 爱情 奇幻
驯龙高手,https://movie.douban.com/subject/2353023/,864488,2010,美国,动画 奇幻 冒险
消失的爱人,https://movie.douban.com/subject/21318488/,1072526,2014,美国,犯罪 悬疑 惊悚
无人知晓,https://movie.douban.com/subject/1292337/,372116,2004,日本,未知
倩女幽魂,https://movie.douban.com/subject/1297447/,835236,1987,中国香港,爱情 奇幻 武侠 古装
傲慢与偏见,https://movie.douban.com/subject/1418200/,933054,2005,法国 英国 美国,爱情
新世界,https://movie.douban.com/subject/10437779/,526965,2013,韩国,犯罪
花样年华,https://movie.douban.com/subject/1291557/,804261,2000,中国香港,爱情
玩具总动员3,https://movie.douban.com/subject/1858711/,592282,2010,美国,喜剧 动画 奇幻 冒险
一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,568513,2015,瑞典,未知
完美的世界,https://movie.douban.com/subject/1300992/,359989,1993,美国,犯罪
色，戒,https://movie.douban.com/subject/1828115/,960242,2007,中国台湾 中国大陆 美国 中国香港,爱情 情色
阳光灿烂的日子,https://movie.douban.com/subject/1291875/,695376,1994,中国大陆 中国香港,爱情
怪兽电力公司,https://movie.douban.com/subject/1291579/,769871,2001,美国,儿童 喜剧 动画 奇幻 冒险
小森林 夏秋篇,https://movie.douban.com/subject/25814705/,473148,2014,日本,未知
天使爱美丽,https://movie.douban.com/subject/1292215/,1020713,2001,法国 德国,喜剧 爱情
教父3,https://movie.douban.com/subject/1294240/,432089,1990,美国,犯罪
侧耳倾听,https://movie.douban.com/subject/1297052/,520367,1995,日本,爱情 动画
哪吒闹海,https://movie.douban.com/subject/1307315/,308120,1979,中国大陆,冒险 动画 奇幻
九品芝麻官,https://movie.douban.com/subject/1297518/,793740,1994,中国香港,喜剧 古装
被解救的姜戈,https://movie.douban.com/subject/6307447/,692037,2012,美国,动作 西部 冒险
请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,823986,2017,意大利 法国 巴西 美国,爱情 同性
幸福终点站,https://movie.douban.com/subject/1292274/,641926,2004,美国,喜剧  爱情
釜山行,https://movie.douban.com/subject/25986180/,1349574,2016,韩国,动作 惊悚 灾难
神偷奶爸,https://movie.douban.com/subject/3287562/,1046407,2010,美国 法国,喜剧 动画 冒险
小森林 冬春篇,https://movie.douban.com/subject/25814707/,420470,2015,日本,未知
喜宴,https://movie.douban.com/subject/1303037/,431470,1993,中国台湾 美国,喜剧 爱情 同性 家庭
萤火之森,https://movie.douban.com/subject/5989818/,610733,2011,日本,爱情 动画 奇幻
告白,https://movie.douban.com/subject/4268598/,743735,2010,日本,悬疑
玛丽和麦克斯,https://movie.douban.com/subject/3072124/,470648,2009,澳大利亚 美国,喜剧 动画
七武士,https://movie.douban.com/subject/1295399/,235538,1954,日本,动作 冒险
头号玩家,https://movie.douban.com/subject/4920389/,1516488,2018,美国,动作 科幻 冒险
模仿游戏,https://movie.douban.com/subject/10463953/,720028,2014,英国 美国,传记 战争 同性
惊魂记,https://movie.douban.com/subject/1293181/,356345,1960,美国,悬疑 惊悚 恐怖
大鱼,https://movie.douban.com/subject/1291545/,626943,2003,美国,爱情 奇幻 冒险
心灵奇旅,https://movie.douban.com/subject/24733428/,1142241,2020,美国,动画 奇幻 音乐
射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,717972,1993,中国香港,喜剧 奇幻 武侠 古装
血战钢锯岭,https://movie.douban.com/subject/26325320/,859640,2016,澳大利亚 美国,传记 历史 战争
背靠背，脸对脸,https://movie.douban.com/subject/1307856/,179789,1994,中国大陆 中国香港,未知
你的名字。,https://movie.douban.com/subject/26683290/,1592708,2016,日本,爱情 动画
机器人之梦,https://movie.douban.com/subject/35426925/,436585,2023,西班牙 法国,动画 音乐
我是山姆,https://movie.douban.com/subject/1306861/,376578,2001,美国,家庭
阳光姐妹淘,https://movie.douban.com/subject/4917726/,638604,2011,韩国,喜剧
恐怖直播,https://movie.douban.com/subject/21360417/,728382,2013,韩国,犯罪 悬疑
黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,497429,2003,美国,动作 科幻
小丑,https://movie.douban.com/subject/27119724/,1125555,2019,美国 加拿大,犯罪 惊悚
末路狂花,https://movie.douban.com/subject/1291992/,347115,1991,美国 英国 法国,犯罪  惊悚
三块广告牌,https://movie.douban.com/subject/26611804/,920238,2017,英国 美国,犯罪
谍影重重3,https://movie.douban.com/subject/1578507/,471033,2007,美国 德国 法国 英国,动作 悬疑 惊悚
电锯惊魂,https://movie.douban.com/subject/1417598/,613198,2004,美国,悬疑 惊悚 恐怖
高山下的花环,https://movie.douban.com/subject/1422283/,158830,1984,中国大陆,战争
无间道2,https://movie.douban.com/subject/1307106/,567183,2003,中国香港,犯罪 惊悚
达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,506060,2013,美国,传记 同性
疯狂原始人,https://movie.douban.com/subject/1907966/,921450,2013,美国,喜剧 动画 冒险
绿里奇迹,https://movie.douban.com/subject/1300374/,388403,1999,美国,犯罪  奇幻 悬疑
爱在午夜降临前,https://movie.douban.com/subject/10808442/,473591,2013,美国 希腊,爱情
疯狂的石头,https://movie.douban.com/subject/1862151/,926273,2006,中国大陆 中国香港,喜剧 犯罪
雨中曲,https://movie.douban.com/subject/1293460/,268870,1952,美国,喜剧 歌舞 爱情
2001太空漫游,https://movie.douban.com/subject/1292226/,396578,1968,英国 美国,科幻 惊悚 冒险
海街日记,https://movie.douban.com/subject/25895901/,521243,2015,日本,家庭
风之谷,https://movie.douban.com/subject/1291585/,393725,1984,日本,动画 奇幻 冒险
上帝之城,https://movie.douban.com/subject/1292208/,333535,2002,巴西 法国,犯罪
心迷宫,https://movie.douban.com/subject/25917973/,617778,2014,中国大陆,犯罪 悬疑
英雄本色,https://movie.douban.com/subject/1297574/,606393,1986,中国香港,动作 犯罪
记忆碎片,https://movie.douban.com/subject/1304447/,669122,2000,美国,犯罪  悬疑 惊悚
纵横四海,https://movie.douban.com/subject/1295409/,473836,1991,中国香港,喜剧 动作 犯罪
无敌破坏王,https://movie.douban.com/subject/6534248/,612358,2012,美国,喜剧 动画 奇幻 冒险
卢旺达饭店,https://movie.douban.com/subject/1291822/,367326,2004,英国 南非 意大利 美国,传记 历史 战争
东京教父,https://movie.douban.com/subject/1310177/,291372,2003,日本,喜剧 动画
小偷家族,https://movie.douban.com/subject/27622447/,895563,2018,日本,犯罪 家庭
恐怖游轮,https://movie.douban.com/subject/3011051/,990189,2009,英国 澳大利亚,科幻 悬疑 奇幻 惊悚
牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,369408,1991,中国台湾,犯罪
冰川时代,https://movie.douban.com/subject/1291578/,686229,2002,美国,喜剧 动画 冒险
