movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type,stars5,stars4,stars3,stars2,stars1,star1_cnt,star2_cnt,star3_cnt,star4_cnt,star5_cnt,smooth_score,raw_avg
背靠背，脸对脸,https://movie.douban.com/subject/1307856/,179789,1994,中国大陆 中国香港,未知,75.7,21.6,2.3,0.2,0.1,17979,35958,413515,3883442,13610027,4.497779502616128,472.3
音乐之声,https://movie.douban.com/subject/1294408/,682117,1965,美国,传记 爱情 歌舞,62.8,30.7,6.1,0.3,0.1,68212,204635,4160914,20940992,42836948,4.497778209152733,455.79999999999995
高山下的花环,https://movie.douban.com/subject/1422283/,158830,1984,中国大陆,战争,79.6,16.7,3.1,0.3,0.2,31766,47649,492373,2652461,12642868,4.497775523926147,474.9
罗马假日,https://movie.douban.com/subject/1293839/,1045328,1953,美国,喜剧  爱情,60.8,32.4,6.4,0.3,0.1,104533,313598,6690099,33868627,63555942,4.497765675012237,453.5
七武士,https://movie.douban.com/subject/1295399/,235538,1954,日本,动作 冒险,71.6,23.2,4.5,0.5,0.3,70661,117769,1059921,5464482,16864521,4.497749935831779,465.6
一一,https://movie.douban.com/subject/1292434/,507104,2000,中国台湾 日本,爱情 家庭,66.4,25.7,6.7,0.9,0.4,202842,456394,3397597,13032573,33671706,4.497742111436095,457.1
飞越疯人院,https://movie.douban.com/subject/1292224/,602166,1975,美国,未知,63.4,29.7,6.1,0.6,0.2,120433,361300,3673213,17884330,38177324,4.497739853556188,455.5
美国往事,https://movie.douban.com/subject/1292262/,470693,1984,美国 意大利,犯罪,65.3,27.3,6.2,0.7,0.4,188277,329485,2918297,12849919,30736253,4.497724856566275,456.1
哪吒闹海,https://movie.douban.com/subject/1307315/,308120,1979,中国大陆,冒险 动画 奇幻,66.9,26.8,5.8,0.4,0.1,30812,123248,1787096,8257616,20613228,4.497722609773445,460.0
让子弹飞,https://movie.douban.com/subject/3742360/,1913577,2010,中国大陆 中国香港,喜剧 动作 西部,61.2,30.2,7.6,0.7,0.3,574073,1339504,14543185,57790025,117110912,4.4977095061908035,451.29999999999995
芙蓉镇,https://movie.douban.com/subject/1297880/,190013,1987,中国大陆,爱情,69.5,26.1,4.0,0.3,0.2,38003,57004,760052,4959339,13205904,4.497699361769923,464.7
城市之光,https://movie.douban.com/subject/1293908/,173076,1931,美国,喜剧  爱情,70.4,25.1,4.1,0.3,0.2,34615,51923,709612,4344208,12184550,4.497693160177695,465.5
美丽心灵,https://movie.douban.com/subject/1306029/,851342,2001,美国,传记,60.0,33.4,6.1,0.4,0.1,85134,340537,5193186,28434823,51080520,4.497689422874628,452.79999999999995
狩猎,https://movie.douban.com/subject/6985810/,469135,2012,丹麦 瑞典,未知,62.6,31.1,5.4,0.5,0.4,187654,234568,2533329,14590098,29367851,4.49768209540756,455.0
无人知晓,https://movie.douban.com/subject/1292337/,372116,2004,日本,未知,62.5,31.8,5.1,0.4,0.2,74423,148846,1897792,11833289,23257250,4.4976742377579,456.0
拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,722756,1998,美国,战争,60.5,32.6,6.2,0.4,0.2,144551,289102,4481087,23561846,43726738,4.497673127327104,452.5
完美的世界,https://movie.douban.com/subject/1300992/,359989,1993,美国,犯罪,63.2,30.4,5.7,0.5,0.2,71998,179994,2051937,10943666,22751305,4.497667765022306,455.9
忠犬八公物语,https://movie.douban.com/subject/1959195/,218804,1987,日本,未知,66.0,27.7,5.7,0.5,0.2,43761,109402,1247183,6060871,14441064,4.497652428857654,459.1
摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,1739319,2016,印度,传记 运动 家庭,59.4,33.1,6.9,0.5,0.2,347864,869660,12001301,57571459,103315549,4.497649152917374,451.3
未麻的部屋,https://movie.douban.com/subject/1395091/,424647,1997,日本,犯罪 动画 悬疑 惊悚,62.3,30.6,6.2,0.6,0.3,127394,254788,2632811,12994198,26455508,4.4976439747559676,454.0
搏击俱乐部,https://movie.douban.com/subject/1292000/,970443,1999,美国,动作 悬疑 惊悚,61.7,29.8,7.3,0.8,0.4,388177,776354,7084234,28919201,59876333,4.497642975429163,451.6
雨中曲,https://movie.douban.com/subject/1293460/,268870,1952,美国,喜剧 歌舞 爱情,63.4,30.2,5.9,0.4,0.2,53774,107548,1586333,8119874,17046358,4.497637673733083,456.5
大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,1361164,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,60.5,31.2,7.4,0.6,0.3,408349,816698,10072614,42468317,82350422,4.497637239646876,451.0
机器人之梦,https://movie.douban.com/subject/35426925/,436585,2023,西班牙 法国,动画 音乐,61.8,31.0,6.4,0.6,0.2,87317,261951,2794144,13534135,26980953,4.497636780717143,453.6
我不是药神,https://movie.douban.com/subject/26752088/,2342356,2018,中国大陆,喜剧,58.8,33.7,6.8,0.5,0.2,468471,1171178,15928021,78937397,137730533,4.497626206171789,450.4
红辣椒,https://movie.douban.com/subject/1865703/,568243,2006,日本,动画 悬疑 科幻 惊悚,61.4,30.2,7.3,0.8,0.3,170473,454594,4148174,17160939,34890120,4.4976001977954745,451.6
惊魂记,https://movie.douban.com/subject/1293181/,356345,1960,美国,悬疑 惊悚 恐怖,59.1,34.2,6.1,0.4,0.2,71269,142538,2173704,12186999,21059990,4.497577580318328,451.6
哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,967406,2011,美国 英国,奇幻 冒险,60.2,31.0,8.0,0.6,0.2,193481,580444,7739248,29989586,58237841,4.497575547512229,450.4
小森林 冬春篇,https://movie.douban.com/subject/25814707/,420470,2015,日本,未知,60.1,32.0,7.1,0.6,0.2,84094,252282,2985337,13455040,25270247,4.497574677679437,451.2
教父3,https://movie.douban.com/subject/1294240/,432089,1990,美国,犯罪,60.2,31.8,7.3,0.6,0.2,86418,259253,3154250,13740430,26011758,4.497571897446732,451.5
东京教父,https://movie.douban.com/subject/1310177/,291372,2003,日本,喜剧 动画,59.6,32.9,6.8,0.5,0.2,58274,145686,1981330,9586139,17365771,4.4975638704990395,451.2
攻壳机动队,https://movie.douban.com/subject/1291936/,218322,1995,日本,动作 科幻 动画,60.7,31.2,7.1,0.7,0.3,65497,152825,1550086,6811646,13252145,4.4975590155344145,451.29999999999995
本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,1101614,2008,美国,爱情 奇幻,58.6,33.3,7.4,0.5,0.1,110161,550807,8151944,36683746,64554580,4.497551878754612,449.5
