movie_name,movie_href,movie_complex,movie_comment_num
低俗小说,https://movie.douban.com/subject/1291832/,1994 / 美国 / 剧情 喜剧 犯罪,956778人评价
超脱,https://movie.douban.com/subject/5322596/,2011 / 美国 / 剧情,720841人评价
哈利·波特与密室,https://movie.douban.com/subject/1296996/,2002 / 英国 美国 / 奇幻 冒险,913901人评价
一一,https://movie.douban.com/subject/1292434/,2000 / 中国台湾 日本 / 剧情 爱情 家庭,507104人评价
喜剧之王,https://movie.douban.com/subject/1302425/,1999 / 中国香港 / 喜剧 剧情 爱情,1092200人评价
摩登时代,https://movie.douban.com/subject/1294371/,1936 / 美国 / 剧情 喜剧 爱情,345980人评价
杀人回忆,https://movie.douban.com/subject/1300299/,2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚,834883人评价
致命ID,https://movie.douban.com/subject/1297192/,2003 / 美国 / 剧情 悬疑 惊悚,946046人评价
春光乍泄,https://movie.douban.com/subject/1292679/,1997 / 中国香港 日本 韩国 / 剧情 爱情 同性,708156人评价
加勒比海盗,https://movie.douban.com/subject/1298070/,2003 / 美国 / 动作 冒险 奇幻,966533人评价
海豚湾,https://movie.douban.com/subject/3442220/,2009 / 美国 / 纪录片,381996人评价
美国往事,https://movie.douban.com/subject/1292262/,1984 / 美国 意大利 / 犯罪 剧情,470693人评价
红辣椒,https://movie.douban.com/subject/1865703/,2006 / 日本 / 动画 悬疑 科幻 惊悚,568243人评价
七宗罪,https://movie.douban.com/subject/1292223/,1995 / 美国 / 剧情 犯罪 悬疑 惊悚,1059504人评价
唐伯虎点秋香,https://movie.douban.com/subject/1306249/,1993 / 中国香港 / 喜剧 爱情 古装,1222310人评价
狩猎,https://movie.douban.com/subject/6985810/,2012 / 丹麦 瑞典 / 剧情,469135人评价
幽灵公主,https://movie.douban.com/subject/1297359/,1997 / 日本 / 动画 奇幻 冒险,668272人评价
甜蜜蜜,https://movie.douban.com/subject/1305164/,1996 / 中国香港 / 剧情 爱情,671493人评价
寄生虫,https://movie.douban.com/subject/27010768/,2019 / 韩国 / 剧情,1545640人评价
天书奇谭,https://movie.douban.com/subject/1428581/,1983(中国大陆) / 2021 / 中国大陆 / 动画 奇幻,334059人评价
蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,813053人评价
7号房的礼物,https://movie.douban.com/subject/10777687/,2013 / 韩国 / 剧情 喜剧 家庭,621275人评价
超能陆战队,https://movie.douban.com/subject/11026735/,2014 / 美国 / 喜剧 动作 科幻 动画 冒险,1143356人评价
第六感,https://movie.douban.com/subject/1297630/,1999 / 美国 / 剧情 悬疑 惊悚,636336人评价
茶馆,https://movie.douban.com/subject/1461403/,1982(中国大陆) / 中国大陆 / 剧情 历史,207954人评价
爱在黎明破晓前,https://movie.douban.com/subject/1296339/,1995 / 美国 奥地利 瑞士 / 剧情 爱情,799087人评价
爱在日落黄昏时,https://movie.douban.com/subject/1291990/,2004 / 美国 法国 / 剧情 爱情,652434人评价
被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,2006 / 日本 / 剧情 歌舞,774427人评价
哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,2005 / 英国 美国 / 悬疑 奇幻 冒险,800394人评价
头脑特工队,https://movie.douban.com/subject/10533913/,2015 / 美国 / 喜剧 动画 冒险,804514人评价
未麻的部屋,https://movie.douban.com/subject/1395091/,1997 / 日本 / 剧情 犯罪 动画 悬疑 惊悚,424647人评价
重庆森林,https://movie.douban.com/subject/1291999/,1994 / 中国香港 / 剧情 爱情,921799人评价
借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,2010 / 日本 / 动画 奇幻 冒险,627172人评价
入殓师,https://movie.douban.com/subject/2149806/,2008 / 日本 / 剧情,742496人评价
菊次郎的夏天,https://movie.douban.com/subject/1293359/,1999 / 日本 / 剧情 喜剧,672954人评价
断背山,https://movie.douban.com/subject/1418834/,2005 / 美国 加拿大 / 剧情 爱情 同性 家庭,782097人评价
剪刀手爱德华,https://movie.douban.com/subject/1292370/,1990 / 美国 / 剧情 爱情 奇幻,1119839人评价
勇敢的心,https://movie.douban.com/subject/1294639/,1995 / 美国 / 动作 传记 剧情 历史 战争,605306人评价
时空恋旅人,https://movie.douban.com/subject/10577869/,2013 / 英国 美国 / 喜剧 爱情 奇幻,791946人评价
驯龙高手,https://movie.douban.com/subject/2353023/,2010 / 美国 / 动画 奇幻 冒险,864488人评价
消失的爱人,https://movie.douban.com/subject/21318488/,2014 / 美国 / 剧情 犯罪 悬疑 惊悚,1072526人评价
无人知晓,https://movie.douban.com/subject/1292337/,2004 / 日本 / 剧情,372116人评价
倩女幽魂,https://movie.douban.com/subject/1297447/,1987 / 中国香港 / 爱情 奇幻 武侠 古装,835236人评价
傲慢与偏见,https://movie.douban.com/subject/1418200/,2005 / 法国 英国 美国 / 剧情 爱情,933054人评价
新世界,https://movie.douban.com/subject/10437779/,2013 / 韩国 / 剧情 犯罪,526965人评价
花样年华,https://movie.douban.com/subject/1291557/,2000 / 中国香港 / 剧情 爱情,804261人评价
玩具总动员3,https://movie.douban.com/subject/1858711/,2010 / 美国 / 喜剧 动画 奇幻 冒险,592282人评价
一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,2015 / 瑞典 / 剧情,568513人评价
完美的世界,https://movie.douban.com/subject/1300992/,1993 / 美国 / 剧情 犯罪,359989人评价
色，戒,https://movie.douban.com/subject/1828115/,2007 / 中国台湾 中国大陆 美国 中国香港 / 剧情 爱情 情色,960242人评价
阳光灿烂的日子,https://movie.douban.com/subject/1291875/,1994 / 中国大陆 中国香港 / 剧情 爱情,695376人评价
怪兽电力公司,https://movie.douban.com/subject/1291579/,2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险,769871人评价
小森林 夏秋篇,https://movie.douban.com/subject/25814705/,2014 / 日本 / 剧情,473148人评价
天使爱美丽,https://movie.douban.com/subject/1292215/,2001 / 法国 德国 / 剧情 喜剧 爱情,1020713人评价
教父3,https://movie.douban.com/subject/1294240/,1990 / 美国 / 剧情 犯罪,432089人评价
侧耳倾听,https://movie.douban.com/subject/1297052/,1995 / 日本 / 剧情 爱情 动画,520367人评价
哪吒闹海,https://movie.douban.com/subject/1307315/,1979 / 中国大陆 / 冒险 动画 奇幻,308120人评价
九品芝麻官,https://movie.douban.com/subject/1297518/,1994 / 中国香港 / 剧情 喜剧 古装,793740人评价
被解救的姜戈,https://movie.douban.com/subject/6307447/,2012 / 美国 / 剧情 动作 西部 冒险,692037人评价
请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,2017 / 意大利 法国 巴西 美国 / 剧情 爱情 同性,823986人评价
幸福终点站,https://movie.douban.com/subject/1292274/,2004 / 美国 / 喜剧 剧情 爱情,641926人评价
釜山行,https://movie.douban.com/subject/25986180/,2016 / 韩国 / 动作 惊悚 灾难,1349574人评价
神偷奶爸,https://movie.douban.com/subject/3287562/,2010 / 美国 法国 / 喜剧 动画 冒险,1046407人评价
小森林 冬春篇,https://movie.douban.com/subject/25814707/,2015 / 日本 / 剧情,420470人评价
喜宴,https://movie.douban.com/subject/1303037/,1993 / 中国台湾 美国 / 剧情 喜剧 爱情 同性 家庭,431470人评价
萤火之森,https://movie.douban.com/subject/5989818/,2011 / 日本 / 剧情 爱情 动画 奇幻,610733人评价
告白,https://movie.douban.com/subject/4268598/,2010 / 日本 / 剧情 悬疑,743735人评价
玛丽和麦克斯,https://movie.douban.com/subject/3072124/,2009 / 澳大利亚 美国 / 剧情 喜剧 动画,470648人评价
七武士,https://movie.douban.com/subject/1295399/,1954 / 日本 / 动作 冒险 剧情,235538人评价
头号玩家,https://movie.douban.com/subject/4920389/,2018 / 美国 / 动作 科幻 冒险,1516488人评价
模仿游戏,https://movie.douban.com/subject/10463953/,2014 / 英国 美国 / 剧情 传记 战争 同性,720028人评价
惊魂记,https://movie.douban.com/subject/1293181/,1960 / 美国 / 悬疑 惊悚 恐怖,356345人评价
大鱼,https://movie.douban.com/subject/1291545/,2003 / 美国 / 剧情 爱情 奇幻 冒险,626943人评价
心灵奇旅,https://movie.douban.com/subject/24733428/,2020 / 美国 / 动画 奇幻 音乐,1142241人评价
射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,1993 / 中国香港 / 喜剧 奇幻 武侠 古装,717972人评价
血战钢锯岭,https://movie.douban.com/subject/26325320/,2016 / 澳大利亚 美国 / 剧情 传记 历史 战争,859640人评价
背靠背，脸对脸,https://movie.douban.com/subject/1307856/,1994 / 中国大陆 中国香港 / 剧情,179789人评价
你的名字。,https://movie.douban.com/subject/26683290/,2016 / 日本 / 剧情 爱情 动画,1592708人评价
机器人之梦,https://movie.douban.com/subject/35426925/,2023 / 西班牙 法国 / 剧情 动画 音乐,436585人评价
我是山姆,https://movie.douban.com/subject/1306861/,2001 / 美国 / 剧情 家庭,376578人评价
阳光姐妹淘,https://movie.douban.com/subject/4917726/,2011 / 韩国 / 剧情 喜剧,638604人评价
恐怖直播,https://movie.douban.com/subject/21360417/,2013 / 韩国 / 剧情 犯罪 悬疑,728382人评价
黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,2003 / 美国 / 动作 科幻,497429人评价
小丑,https://movie.douban.com/subject/27119724/,2019 / 美国 加拿大 / 剧情 犯罪 惊悚,1125555人评价
末路狂花,https://movie.douban.com/subject/1291992/,1991 / 美国 英国 法国 / 犯罪 剧情 惊悚,347115人评价
三块广告牌,https://movie.douban.com/subject/26611804/,2017 / 英国 美国 / 剧情 犯罪,920238人评价
谍影重重3,https://movie.douban.com/subject/1578507/,2007 / 美国 德国 法国 英国 / 动作 悬疑 惊悚,471033人评价
电锯惊魂,https://movie.douban.com/subject/1417598/,2004 / 美国 / 悬疑 惊悚 恐怖,613198人评价
高山下的花环,https://movie.douban.com/subject/1422283/,1984(中国大陆) / 1985 / 中国大陆 / 剧情 战争,158830人评价
无间道2,https://movie.douban.com/subject/1307106/,2003 / 中国香港 / 剧情 犯罪 惊悚,567183人评价
达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,2013 / 美国 / 剧情 传记 同性,506060人评价
疯狂原始人,https://movie.douban.com/subject/1907966/,2013 / 美国 / 喜剧 动画 冒险,921450人评价
绿里奇迹,https://movie.douban.com/subject/1300374/,1999 / 美国 / 犯罪 剧情 奇幻 悬疑,388403人评价
爱在午夜降临前,https://movie.douban.com/subject/10808442/,2013 / 美国 希腊 / 剧情 爱情,473591人评价
疯狂的石头,https://movie.douban.com/subject/1862151/,2006 / 中国大陆 中国香港 / 喜剧 犯罪,926273人评价
雨中曲,https://movie.douban.com/subject/1293460/,1952 / 美国 / 喜剧 歌舞 爱情,268870人评价
2001太空漫游,https://movie.douban.com/subject/1292226/,1968 / 英国 美国 / 科幻 惊悚 冒险,396578人评价
海街日记,https://movie.douban.com/subject/25895901/,2015 / 日本 / 剧情 家庭,521243人评价
风之谷,https://movie.douban.com/subject/1291585/,1984 / 日本 / 动画 奇幻 冒险,393725人评价
上帝之城,https://movie.douban.com/subject/1292208/,2002 / 巴西 法国 / 犯罪 剧情,333535人评价
心迷宫,https://movie.douban.com/subject/25917973/,2014 / 中国大陆 / 剧情 犯罪 悬疑,617778人评价
英雄本色,https://movie.douban.com/subject/1297574/,1986 / 中国香港 / 剧情 动作 犯罪,606393人评价
记忆碎片,https://movie.douban.com/subject/1304447/,2000 / 美国 / 犯罪 剧情 悬疑 惊悚,669122人评价
纵横四海,https://movie.douban.com/subject/1295409/,1991 / 中国香港 / 剧情 喜剧 动作 犯罪,473836人评价
无敌破坏王,https://movie.douban.com/subject/6534248/,2012 / 美国 / 喜剧 动画 奇幻 冒险,612358人评价
卢旺达饭店,https://movie.douban.com/subject/1291822/,2004 / 英国 南非 意大利 美国 / 剧情 传记 历史 战争,367326人评价
东京教父,https://movie.douban.com/subject/1310177/,2003 / 日本 / 剧情 喜剧 动画,291372人评价
小偷家族,https://movie.douban.com/subject/27622447/,2018 / 日本 / 剧情 犯罪 家庭,895563人评价
恐怖游轮,https://movie.douban.com/subject/3011051/,2009 / 英国 澳大利亚 / 科幻 悬疑 奇幻 惊悚,990189人评价
牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,1991 / 中国台湾 / 剧情 犯罪,369408人评价
冰川时代,https://movie.douban.com/subject/1291578/,2002 / 美国 / 喜剧 动画 冒险,686229人评价
魔女宅急便,https://movie.douban.com/subject/1307811/,1989 / 日本 / 动画 奇幻 冒险,524928人评价
芙蓉镇,https://movie.douban.com/subject/1297880/,1987 / 中国大陆 / 剧情 爱情,190013人评价
忠犬八公物语,https://movie.douban.com/subject/1959195/,1987 / 日本 / 剧情,218804人评价
岁月神偷,https://movie.douban.com/subject/3792799/,2010 / 中国香港 中国大陆 / 剧情 家庭,612874人评价
荒蛮故事,https://movie.douban.com/subject/24750126/,2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪,517983人评价
遗愿清单,https://movie.douban.com/subject/1867345/,2007 / 美国 / 冒险 喜剧 剧情,538803人评价
大佛普拉斯,https://movie.douban.com/subject/27059130/,2017 / 中国台湾 / 剧情 喜剧,554386人评价
源代码,https://movie.douban.com/subject/3075287/,2011 / 美国 加拿大 / 科幻 悬疑 惊悚,926466人评价
花束般的恋爱,https://movie.douban.com/subject/34874432/,2021 / 日本 / 剧情 爱情,828034人评价
疯狂的麦克斯4：狂暴之路,https://movie.douban.com/subject/3592854/,2015 / 澳大利亚 美国 / 动作 科幻 冒险,618976人评价
白日梦想家,https://movie.douban.com/subject/2133323/,2013 / 美国 英国 / 剧情 喜剧 冒险,648147人评价
可可西里,https://movie.douban.com/subject/1308857/,2004 / 中国大陆 中国香港 / 剧情 犯罪,346781人评价
你看起来好像很好吃,https://movie.douban.com/subject/4848115/,2010 / 日本 / 剧情 动画 儿童,376036人评价
贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,2008 / 英国 / 剧情 爱情,807228人评价
爱乐之城,https://movie.douban.com/subject/25934014/,2016 / 美国 / 剧情 爱情 歌舞,1115446人评价
波西米亚狂想曲,https://movie.douban.com/subject/5300054/,2018 / 英国 美国 / 剧情 传记 同性 音乐,690471人评价
城市之光,https://movie.douban.com/subject/1293908/,1931 / 美国 / 喜剧 剧情 爱情,173076人评价
爆裂鼓手,https://movie.douban.com/subject/25773932/,2014 / 美国 / 剧情 音乐,691517人评价
东邪西毒,https://movie.douban.com/subject/1292328/,1994 / 中国香港 中国台湾 / 剧情 动作 爱情 武侠 古装,635755人评价
青蛇,https://movie.douban.com/subject/1303394/,1993 / 中国香港 中国大陆 / 剧情 爱情 奇幻 古装,601609人评价
哈利·波特与死亡圣器(上),https://movie.douban.com/subject/2051007/,2010 / 英国 美国 / 奇幻 冒险,696382人评价
无耻混蛋,https://movie.douban.com/subject/1438652/,2009 / 德国 美国 / 剧情 犯罪,562852人评价
