movie_href,stars5,stars4,stars3,stars2,stars1
https://movie.douban.com/subject/1297447/,49.3,40.9,9.2,0.5,0.1
https://movie.douban.com/subject/1418200/,49.3,39.4,10.3,0.8,0.2
https://movie.douban.com/subject/10437779/,55.9,36.0,7.4,0.5,0.2
https://movie.douban.com/subject/1291557/,50.6,39.3,9.2,0.7,0.2
https://movie.douban.com/subject/1858711/,55.8,35.1,8.6,0.4,0.1
https://movie.douban.com/subject/26628357/,54.6,37.3,7.5,0.5,0.1
https://movie.douban.com/subject/1300992/,63.2,30.4,5.7,0.5,0.2
https://movie.douban.com/subject/1828115/,49.5,38.6,10.8,0.8,0.3
https://movie.douban.com/subject/1291875/,52.5,37.7,8.8,0.7,0.3
https://movie.douban.com/subject/1291579/,49.7,40.7,9.2,0.4,0.1
https://movie.douban.com/subject/25814705/,59.1,32.5,7.5,0.6,0.2
https://movie.douban.com/subject/1292215/,50.0,36.7,11.8,1.2,0.3
https://movie.douban.com/subject/1294240/,60.2,31.8,7.3,0.6,0.2
https://movie.douban.com/subject/1297052/,56.3,34.7,8.3,0.5,0.1
https://movie.douban.com/subject/1307315/,66.9,26.8,5.8,0.4,0.1
https://movie.douban.com/subject/1297518/,49.0,41.1,9.4,0.4,0.1
https://movie.douban.com/subject/6307447/,52.0,38.9,8.3,0.6,0.2
https://movie.douban.com/subject/26799731/,54.8,33.3,10.1,1.2,0.5
https://movie.douban.com/subject/1292274/,52.1,38.6,8.5,0.6,0.1
https://movie.douban.com/subject/25986180/,44.1,43.9,10.9,0.8,0.3
https://movie.douban.com/subject/3287562/,45.6,43.3,10.5,0.5,0.1
https://movie.douban.com/subject/25814707/,60.1,32.0,7.1,0.6,0.2
https://movie.douban.com/subject/1303037/,56.4,37.3,5.8,0.4,0.2
https://movie.douban.com/subject/5989818/,54.5,34.2,10.1,0.9,0.3
https://movie.douban.com/subject/4268598/,51.9,37.0,9.5,1.1,0.5
https://movie.douban.com/subject/3072124/,57.9,33.1,8.0,0.8,0.3
https://movie.douban.com/subject/1295399/,71.6,23.2,4.5,0.5,0.3
https://movie.douban.com/subject/4920389/,48.1,38.0,12.1,1.3,0.4
https://movie.douban.com/subject/10463953/,49.1,41.1,9.2,0.5,0.1
https://movie.douban.com/subject/1293181/,59.1,34.2,6.1,0.4,0.2
https://movie.douban.com/subject/1291545/,51.8,37.1,9.9,0.9,0.3
https://movie.douban.com/subject/24733428/,48.9,38.4,11.8,0.8,0.2
https://movie.douban.com/subject/1316510/,52.9,33.2,11.5,1.7,0.7
https://movie.douban.com/subject/26325320/,46.4,41.6,10.8,0.9,0.2
https://movie.douban.com/subject/1307856/,75.7,21.6,2.3,0.2,0.1
https://movie.douban.com/subject/26683290/,43.5,38.7,15.8,1.6,0.4
https://movie.douban.com/subject/35426925/,61.8,31.0,6.4,0.6,0.2
https://movie.douban.com/subject/1306861/,57.5,34.6,7.2,0.5,0.2
https://movie.douban.com/subject/4917726/,51.1,38.0,9.8,0.8,0.2
https://movie.douban.com/subject/21360417/,47.6,41.5,10.0,0.7,0.2
https://movie.douban.com/subject/1302467/,54.3,35.0,9.7,0.8,0.2
https://movie.douban.com/subject/27119724/,51.0,37.3,10.0,1.1,0.6
https://movie.douban.com/subject/1291992/,59.0,33.1,7.0,0.6,0.2
https://movie.douban.com/subject/26611804/,46.8,43.4,8.9,0.7,0.2
https://movie.douban.com/subject/1578507/,52.9,37.8,8.7,0.5,0.1
https://movie.douban.com/subject/1417598/,51.0,37.0,10.6,1.0,0.4
https://movie.douban.com/subject/1422283/,79.6,16.7,3.1,0.3,0.2
https://movie.douban.com/subject/1307106/,50.0,39.7,9.6,0.6,0.1
https://movie.douban.com/subject/1793929/,50.4,41.6,7.5,0.4,0.1
https://movie.douban.com/subject/1907966/,46.7,41.3,11.2,0.6,0.1
https://movie.douban.com/subject/1300374/,56.6,34.0,8.4,0.8,0.3
https://movie.douban.com/subject/10808442/,54.6,35.0,9.2,0.9,0.3
https://movie.douban.com/subject/1862151/,44.3,42.8,11.7,0.9,0.2
https://movie.douban.com/subject/1293460/,63.4,30.2,5.9,0.4,0.2
https://movie.douban.com/subject/1292226/,60.2,28.4,8.9,1.6,0.9
https://movie.douban.com/subject/25895901/,50.4,40.2,8.7,0.6,0.1
https://movie.douban.com/subject/1291585/,55.8,34.9,8.6,0.5,0.2
https://movie.douban.com/subject/1292208/,58.4,33.9,6.9,0.5,0.2
https://movie.douban.com/subject/25917973/,48.1,42.4,8.6,0.7,0.3
https://movie.douban.com/subject/1297574/,44.5,43.5,11.4,0.5,0.1
https://movie.douban.com/subject/1304447/,47.2,41.2,10.4,0.9,0.3
https://movie.douban.com/subject/1295409/,51.7,37.7,9.6,0.8,0.2
https://movie.douban.com/subject/6534248/,48.7,40.3,10.3,0.6,0.1
https://movie.douban.com/subject/1291822/,54.1,38.3,7.0,0.5,0.2
https://movie.douban.com/subject/1310177/,59.6,32.9,6.8,0.5,0.2
https://movie.douban.com/subject/27622447/,45.1,44.7,9.4,0.7,0.2
https://movie.douban.com/subject/3011051/,43.1,42.6,12.8,1.2,0.3
https://movie.douban.com/subject/1292329/,57.7,31.9,8.7,1.2,0.5
https://movie.douban.com/subject/1291578/,44.5,44.3,10.6,0.5,0.1
https://movie.douban.com/subject/1307811/,48.1,41.7,9.7,0.4,0.1
https://movie.douban.com/subject/1297880/,69.5,26.1,4.0,0.3,0.2
https://movie.douban.com/subject/1959195/,66.0,27.7,5.7,0.5,0.2
https://movie.douban.com/subject/3792799/,48.6,39.8,10.7,0.8,0.2
https://movie.douban.com/subject/24750126/,48.1,41.9,9.1,0.7,0.2
https://movie.douban.com/subject/1867345/,47.6,41.2,10.5,0.7,0.1
https://movie.douban.com/subject/27059130/,48.6,41.1,9.0,0.9,0.4
https://movie.douban.com/subject/3075287/,40.9,47.0,11.4,0.6,0.1
https://movie.douban.com/subject/34874432/,45.1,41.8,11.7,1.1,0.4
https://movie.douban.com/subject/3592854/,49.9,37.0,11.3,1.3,0.5
https://movie.douban.com/subject/2133323/,47.1,39.3,12.3,1.1,0.2
https://movie.douban.com/subject/1308857/,54.1,37.3,7.9,0.5,0.2
https://movie.douban.com/subject/4848115/,55.1,35.1,8.9,0.7,0.2
https://movie.douban.com/subject/2209573/,42.9,44.7,11.5,0.7,0.2
https://movie.douban.com/subject/25934014/,43.7,37.8,15.8,2.2,0.6
https://movie.douban.com/subject/5300054/,47.7,38.7,12.1,1.2,0.3
https://movie.douban.com/subject/1293908/,70.4,25.1,4.1,0.3,0.2
https://movie.douban.com/subject/25773932/,46.9,40.2,11.2,1.2,0.5
https://movie.douban.com/subject/1292328/,47.7,38.3,12.1,1.4,0.5
https://movie.douban.com/subject/1303394/,45.8,41.9,11.4,0.8,0.2
https://movie.douban.com/subject/2051007/,45.3,40.2,13.1,1.1,0.3
https://movie.douban.com/subject/1438652/,47.0,41.6,10.1,0.9,0.3
https://movie.douban.com/subject/1291844/,51.7,38.3,9.5,0.4,0.1
https://movie.douban.com/subject/1293323/,50.6,41.3,7.5,0.5,0.2
https://movie.douban.com/subject/1978709/,42.3,45.0,11.6,0.8,0.3
https://movie.douban.com/subject/1292287/,46.0,43.3,9.9,0.6,0.1
https://movie.douban.com/subject/4739952/,42.4,41.5,14.5,1.3,0.3
https://movie.douban.com/subject/1302827/,48.8,38.3,11.4,1.2,0.3
https://movie.douban.com/subject/1300117/,51.6,39.3,8.4,0.5,0.1
https://movie.douban.com/subject/1959877/,45.9,41.1,11.9,0.8,0.2
https://movie.douban.com/subject/1291870/,47.2,43.1,9.1,0.5,0.1
https://movie.douban.com/subject/1296909/,57.1,32.9,8.9,0.8,0.3
https://movie.douban.com/subject/1457217/,44.5,40.3,14.0,1.0,0.2
https://movie.douban.com/subject/25807345/,44.0,42.6,11.8,1.2,0.4
https://movie.douban.com/subject/1291879/,51.9,38.1,9.0,0.8,0.3
https://movie.douban.com/subject/25980443/,43.9,43.3,11.5,1.0,0.2
https://movie.douban.com/subject/1309163/,44.2,40.0,13.9,1.5,0.4
https://movie.douban.com/subject/1292401/,45.1,38.0,14.6,1.8,0.6
https://movie.douban.com/subject/25864085/,40.0,47.9,11.3,0.6,0.2
https://movie.douban.com/subject/1304141/,47.7,40.3,11.0,0.9,0.2
https://movie.douban.com/subject/2222996/,50.9,40.0,8.2,0.6,0.2
https://movie.douban.com/subject/4202982/,40.6,45.3,13.1,0.8,0.2
https://movie.douban.com/subject/26787574/,42.7,44.4,12.1,0.7,0.1
https://movie.douban.com/subject/1307394/,53.8,35.3,9.6,0.9,0.3
https://movie.douban.com/subject/1419936/,46.7,42.5,10.0,0.6,0.1
https://movie.douban.com/subject/1308767/,47.1,42.4,9.8,0.5,0.1
https://movie.douban.com/subject/26374197/,44.1,42.2,12.5,0.9,0.2
https://movie.douban.com/subject/1291936/,60.7,31.2,7.1,0.7,0.3
https://movie.douban.com/subject/1428175/,44.8,45.1,9.5,0.5,0.1
https://movie.douban.com/subject/25977027/,43.0,43.1,12.6,1.1,0.3
https://movie.douban.com/subject/26615208/,53.2,38.7,7.5,0.5,0.2
https://movie.douban.com/subject/1293964/,50.6,39.7,9.0,0.6,0.2
https://movie.douban.com/subject/27113517/,42.5,45.1,11.2,0.9,0.3
https://movie.douban.com/subject/25724855/,47.2,43.7,8.5,0.4,0.1
