movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type,stars5,stars4,stars3,stars2,stars1
哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,967406,2011,美国 英国,奇幻 冒险,60.2,31.0,8.0,0.6,0.2
两杆大烟枪,https://movie.douban.com/subject/1293350/,675574,1998,英国,喜剧 犯罪,64.3,29.0,5.9,0.5,0.2
窃听风暴,https://movie.douban.com/subject/1900841/,630192,2006,德国,悬疑,64.6,29.4,5.4,0.4,0.2
音乐之声,https://movie.douban.com/subject/1294408/,682117,1965,美国,传记 爱情 歌舞,62.8,30.7,6.1,0.3,0.1
功夫,https://movie.douban.com/subject/1291543/,1330974,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,55.9,33.4,9.8,0.8,0.2
哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,887668,2004,英国 美国,奇幻 冒险,58.6,33.4,7.6,0.4,0.1
西西里的美丽传说,https://movie.douban.com/subject/1292402/,1090358,2000,意大利 美国,战争 情色,55.4,36.4,7.4,0.5,0.2
阿凡达,https://movie.douban.com/subject/1652587/,1581897,2009,美国,动作 科幻 冒险,54.4,34.7,9.9,0.8,0.3
看不见的客人,https://movie.douban.com/subject/26580232/,1436287,2016,西班牙,犯罪 悬疑 惊悚,48.8,41.5,9.1,0.5,0.1
拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,722756,1998,美国,战争,60.5,32.6,6.2,0.4,0.2
沉默的羔羊,https://movie.douban.com/subject/1293544/,1013170,1991,美国,犯罪 惊悚,54.9,37.0,7.5,0.4,0.1
小鞋子,https://movie.douban.com/subject/1303021/,463953,1997,伊朗,儿童 家庭,66.9,28.4,4.3,0.2,0.1
布达佩斯大饭店,https://movie.douban.com/subject/11525673/,1082228,2014,美国 德国 英国,喜剧 冒险,55.3,35.7,8.1,0.7,0.2
蝴蝶效应,https://movie.douban.com/subject/1292343/,1064830,2004,美国 加拿大,悬疑 科幻 惊悚,54.2,37.1,7.9,0.6,0.2
飞越疯人院,https://movie.douban.com/subject/1292224/,602166,1975,美国,未知,63.4,29.7,6.1,0.6,0.2
禁闭岛,https://movie.douban.com/subject/2334904/,1109477,2010,美国,悬疑 惊悚,52.7,38.9,7.7,0.5,0.1
还有明天,https://movie.douban.com/subject/36445098/,365458,2023,意大利,喜剧 历史,73.7,21.2,4.2,0.6,0.4
心灵捕手,https://movie.douban.com/subject/1292656/,813059,1997,美国,未知,56.6,35.5,7.3,0.5,0.2
致命魔术,https://movie.douban.com/subject/1780330/,962112,2006,英国 美国,悬疑 惊悚,54.5,36.8,7.9,0.6,0.2
